Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
1-T-R_unscaled,1-T-R_unsmooth,DA,DA_1stderiv,DA_2ndderiv,DA_unscaled,E,IA,IA_1stderiv,IA_2ndderiv,IA_unscaled,TR,TR_unscaled,TR_unsmooth,abs,abs_1stderiv,abs_2ndderiv,abs_unscaled,abs_unsmooth,av-raw_refl,av-raw_trans,dark_refl,dark_trans,fitdata-DA,fitdata-IA,rawselectinds,ref_refl,ref_trans,refl_unsmooth,trans_unsmooth
-0.017,-0.013,0.003,0,0,0.019,1.34,0.227,-0.001,0,0.372,0.902,1.018,1.014,0.116,-0.323,10.632,0.103,-0.014,1.227,2.793,1.023,0.966,0.003,0.235,0,4.726,2.874,0.055,0.958
-0.018,-0.017,0.003,0,0,0.019,1.344,0.225,-0.001,0,0.37,0.903,1.019,1.018,0.114,-0.28,10.463,0.102,-0.018,1.185,2.995,1.031,0.967,0.003,0.235,0,3.684,3.081,0.058,0.959
-0.02,-0.014,0.003,0,0,0.018,1.348,0.224,-0.001,0,0.367,0.905,1.021,1.015,0.112,-0.237,10.078,0.1,-0.015,1.237,3.446,1.025,0.966,0.003,0.234,0,4.664,3.56,0.058,0.956
-0.021,-0.019,0.002,0,0,0.018,1.353,0.223,0,0,0.365,0.906,1.022,1.021,0.111,-0.197,9.478,0.099,-0.02,1.246,3.451,1.028,0.967,0.003,0.234,0,4.907,3.545,0.056,0.963
-0.021,-0.017,0.002,0,0,0.018,1.357,0.223,0,0,0.366,0.906,1.023,1.018,0.11,-0.159,8.727,0.099,-0.018,1.236,3.317,1.03,0.966,0.003,0.233,0,4.685,3.414,0.056,0.96
-0.022,-0.02,0.002,0,0,0.018,1.362,0.223,0,0,0.365,0.907,1.023,1.022,0.11,-0.124,7.847,0.098,-0.021,1.256,3.606,1.028,0.966,0.003,0.233,0,4.948,3.709,0.058,0.962
-0.022,-0.026,0.002,0,0,0.018,1.366,0.223,0,0,0.366,0.907,1.023,1.028,0.11,-0.093,6.805,0.098,-0.027,1.258,3.557,1.03,0.966,0.003,0.232,0,5.07,3.638,0.056,0.97
-0.022,-0.021,0.002,0,0,0.018,1.371,0.223,0,0,0.367,0.907,1.023,1.022,0.11,-0.068,5.596,0.098,-0.022,1.234,3.227,1.029,0.967,0.003,0.232,0,4.716,3.308,0.056,0.965
-0.022,-0.028,0.003,0,0,0.018,1.375,0.224,0,0,0.367,0.907,1.023,1.029,0.11,-0.047,4.347,0.098,-0.029,1.279,4.558,1.03,0.966,0.003,0.231,0,5.133,4.681,0.061,0.967
-0.021,-0.031,0.003,0,0,0.018,1.38,0.224,0,0,0.368,0.906,1.023,1.033,0.11,-0.032,3.028,0.098,-0.032,1.508,6.827,1.026,0.966,0.003,0.231,0,8.9,7.011,0.061,0.97
-0.021,-0.027,0.003,0,0,0.019,1.385,0.226,0,0,0.37,0.906,1.022,1.029,0.111,-0.022,1.699,0.099,-0.028,1.575,6.838,1.028,0.966,0.003,0.23,0,10.717,7.015,0.056,0.971
-0.02,-0.025,0.003,0,0,0.019,1.389,0.227,0,0,0.372,0.905,1.021,1.027,0.112,-0.017,0.415,0.1,-0.026,1.45,4.593,1.031,0.966,0.003,0.23,0,8.696,4.703,0.055,0.971
-0.02,-0.015,0.003,0,0,0.02,1.394,0.228,0,0,0.374,0.905,1.021,1.016,0.112,-0.017,-0.778,0.1,-0.016,1.2,2.367,1.022,0.966,0.003,0.229,0,4.442,2.42,0.052,0.963
-0.019,-0.02,0.003,0,0,0.02,1.399,0.229,0,0,0.376,0.904,1.02,1.021,0.113,-0.019,-1.784,0.101,-0.021,1.125,1.981,1.031,0.966,0.003,0.229,0,2.723,2.019,0.056,0.964
-0.019,-0.025,0.003,0,0,0.02,1.404,0.23,0,0,0.377,0.904,1.02,1.027,0.114,-0.025,-2.582,0.101,-0.027,1.109,1.818,1.024,0.967,0.003,0.228,0,2.422,1.85,0.061,0.964
-0.019,-0.006,0.003,0,0,0.02,1.408,0.23,0,0,0.377,0.904,1.02,1.006,0.113,-0.034,-3.189,0.101,-0.006,1.091,1.707,1.026,0.966,0.003,0.228,0,2.233,1.745,0.055,0.951
-0.02,-0.014,0.003,0,0,0.02,1.413,0.229,0,0,0.376,0.905,1.021,1.014,0.112,-0.042,-3.498,0.1,-0.014,1.083,1.648,1.023,0.967,0.003,0.227,0,2.058,1.68,0.058,0.956
-0.019,-0.021,0.003,0,0,0.02,1.418,0.23,0,0,0.377,0.904,1.021,1.022,0.113,-0.051,-3.51,0.1,-0.022,1.08,1.61,1.029,0.967,0.003,0.227,0,1.97,1.631,0.054,0.967
-0.021,-0.012,0.003,0,0,0.02,1.423,0.229,0,0,0.376,0.906,1.022,1.013,0.111,-0.059,-3.29,0.099,-0.013,1.074,1.586,1.028,0.967,0.003,0.226,0,1.918,1.611,0.051,0.961
-0.021,-0.016,0.003,0,0,0.02,1.428,0.229,0,0,0.375,0.906,1.023,1.017,0.11,-0.066,-2.829,0.099,-0.017,1.076,1.577,1.027,0.966,0.003,0.226,0,1.876,1.604,0.058,0.959
-0.022,-0.032,0.003,0,0,0.02,1.433,0.229,0,0,0.375,0.906,1.023,1.034,0.11,-0.071,-2.165,0.098,-0.034,1.07,1.591,1.022,0.966,0.003,0.225,0,1.87,1.607,0.057,0.975
-0.022,-0.004,0.003,0,0,0.02,1.438,0.229,0,0,0.375,0.907,1.023,1.004,0.11,-0.075,-1.409,0.098,-0.004,1.077,1.63,1.026,0.966,0.003,0.225,0,1.912,1.668,0.058,0.946
-0.022,-0.015,0.003,0,0,0.02,1.443,0.229,0,0,0.375,0.907,1.024,1.015,0.109,-0.075,-0.384,0.098,-0.015,1.09,1.851,1.031,0.966,0.003,0.224,0,2.123,1.887,0.054,0.96
-0.023,-0.026,0.003,0,0,0.02,1.448,0.229,0,0,0.375,0.907,1.024,1.028,0.109,-0.072,0.773,0.097,-0.027,1.118,2.114,1.022,0.966,0.003,0.224,0,2.566,2.157,0.062,0.964
-0.023,-0.026,0.003,0,0,0.02,1.453,0.228,0,0,0.374,0.908,1.025,1.028,0.108,-0.066,1.93,0.096,-0.027,1.152,2.552,1.029,0.966,0.003,0.223,0,3.082,2.607,0.06,0.966
-0.024,-0.028,0.003,0,0,0.02,1.458,0.228,0,0,0.374,0.909,1.025,1.029,0.107,-0.055,2.99,0.096,-0.029,1.2,2.937,1.026,0.966,0.003,0.223,0,3.888,3.004,0.061,0.967
-0.025,-0.029,0.003,0,0,0.019,1.463,0.227,0,0,0.373,0.91,1.026,1.031,0.106,-0.041,3.875,0.095,-0.03,1.231,3.385,1.031,0.966,0.003,0.222,0,4.374,3.462,0.06,0.969
-0.026,-0.036,0.003,0,0,0.019,1.469,0.226,0,0,0.371,0.91,1.027,1.038,0.105,-0.024,4.649,0.094,-0.037,1.319,4.298,1.026,0.966,0.003,0.221,0,5.72,4.389,0.062,0.973
-0.026,-0.033,0.003,0,0,0.019,1.474,0.226,0,0,0.371,0.911,1.028,1.035,0.104,-0.005,5.172,0.093,-0.035,1.466,6.351,1.028,0.966,0.003,0.221,0,8.048,6.513,0.062,0.971
-0.026,-0.031,0.003,0,0,0.019,1.479,0.226,0.001,0,0.371,0.911,1.028,1.033,0.104,0.016,5.5,0.093,-0.032,1.647,7.389,1.032,0.967,0.003,0.22,0,11.318,7.58,0.06,0.971
-0.027,-0.033,0.003,0,0,0.019,1.484,0.226,0.001,0,0.371,0.911,1.028,1.035,0.104,0.039,5.648,0.093,-0.034,1.563,6.027,1.026,0.966,0.003,0.221,0,10.29,6.158,0.058,0.975
-0.026,-0.029,0.003,0,0,0.019,1.49,0.227,0.001,0,0.372,0.911,1.028,1.031,0.104,0.061,5.544,0.093,-0.03,1.338,3.352,1.034,0.966,0.003,0.224,0,6.683,3.413,0.054,0.975
-0.026,-0.02,0.003,0,0,0.02,1.495,0.228,0.001,0,0.374,0.911,1.027,1.021,0.105,0.084,5.246,0.094,-0.021,1.141,2.053,1.024,0.967,0.003,0.226,0,3.118,2.094,0.056,0.964
-0.025,-0.026,0.003,0,0,0.02,1.501,0.23,0.001,0,0.377,0.91,1.027,1.028,0.106,0.107,4.836,0.095,-0.027,1.113,1.942,1.026,0.966,0.003,0.228,0,2.496,1.976,0.059,0.967
-0.024,-0.02,0.003,0,0,0.021,1.506,0.232,0.001,0,0.38,0.909,1.025,1.021,0.107,0.129,4.356,0.096,-0.021,1.109,1.93,1.023,0.966,0.003,0.23,0,2.457,1.97,0.06,0.96
-0.023,-0.015,0.003,0,0,0.021,1.511,0.233,0.001,0,0.383,0.908,1.024,1.016,0.109,0.15,3.858,0.097,-0.016,1.108,1.908,1.032,0.966,0.003,0.232,0,2.424,1.947,0.055,0.96
-0.021,-0.006,0.003,0,0,0.022,1.517,0.235,0.001,0,0.386,0.906,1.023,1.006,0.11,0.169,3.421,0.098,-0.006,1.103,1.896,1.028,0.967,0.003,0.235,0,2.392,1.944,0.055,0.951
-0.02,-0.028,0.003,0,0,0.023,1.523,0.238,0.002,0,0.39,0.905,1.021,1.03,0.112,0.187,3.085,0.1,-0.03,1.114,1.942,1.03,0.967,0.003,0.237,0,2.431,1.973,0.059,0.969
-0.019,-0.022,0.003,0,0,0.024,1.528,0.24,0.002,0,0.394,0.904,1.02,1.024,0.114,0.205,2.749,0.101,-0.024,1.115,1.949,1.021,0.967,0.003,0.239,0,2.48,1.993,0.064,0.958
-0.017,-0.007,0.003,0,0,0.025,1.534,0.242,0.002,0,0.396,0.903,1.019,1.008,0.115,0.222,2.418,0.102,-0.008,1.11,1.94,1.028,0.966,0.003,0.242,0,2.466,1.99,0.057,0.95
-0.016,-0.021,0.004,0,0,0.026,1.54,0.244,0.002,0,0.4,0.901,1.017,1.023,0.116,0.237,2.208,0.104,-0.022,1.117,1.96,1.023,0.966,0.003,0.244,0,2.5,2.003,0.063,0.958
-0.015,-0.016,0.004,0,0,0.026,1.545,0.246,0.002,0,0.403,0.9,1.016,1.018,0.118,0.253,2,0.105,-0.017,1.117,1.963,1.023,0.967,0.003,0.246,0,2.484,2.013,0.064,0.952
-0.013,-0.017,0.004,0,0,0.027,1.551,0.248,0.002,0,0.407,0.899,1.014,1.018,0.119,0.268,1.816,0.107,-0.018,1.114,1.93,1.024,0.966,0.003,0.249,0,2.484,1.974,0.061,0.956
-0.011,-0.014,0.004,0,0,0.029,1.557,0.251,0.002,0,0.412,0.897,1.012,1.015,0.122,0.281,1.68,0.109,-0.015,1.115,1.897,1.034,0.966,0.003,0.251,0,2.41,1.941,0.059,0.955
